stack_id,stack_name,stack_description,feature_set,feature_count,threshold_mode,signal_layer_mode,portfolio_mapping,fold_id,train_start,train_end,test_start,test_end,test_year,train_score,train_return_drawdown_ratio,train_total_return,train_max_drawdown,train_accuracy,test_score,test_return_drawdown_ratio,test_total_return,test_max_drawdown,test_accuracy,train_test_score_delta
D,Astro + Feature Selection + Threshold Tuning + Signal Layer,"Adds non-regime signal confirmation from ML probability, astro momentum, and trend alignment.",selected,153,tuned,signal,spot,1,2014-10-17,2018-12-31,2019-01-01,2019-12-31,2019,274.504374653132,886.8003255017763,322.8746459084836,-0.36408945353712197,0.8239947264337508,2.1570624086958836,6.649033805322896,1.4172566892980423,-0.21315227607407483,0.5205479452054794,-272.3473122444361
D,Astro + Feature Selection + Threshold Tuning + Signal Layer,"Adds non-regime signal confirmation from ML probability, astro momentum, and trend alignment.",selected,153,tuned,signal,spot,2,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2020,774.5839880924609,2457.0391371618025,943.2534004151354,-0.3838984028169429,0.8006644518272426,3.4377422928230326,9.979596580608174,2.8444921810975705,-0.2850307783608045,0.6202185792349727,-771.1462457996379
D,Astro + Feature Selection + Threshold Tuning + Signal Layer,"Adds non-regime signal confirmation from ML probability, astro momentum, and trend alignment.",selected,153,tuned,signal,spot,3,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2021,782.3759131119974,2304.6150256450774,1070.9769613372966,-0.46470970180259197,0.776135741652983,0.11967545689004781,1.2384316392623174,0.6571347438535218,-0.5306185040984175,0.5589041095890411,-782.2562376551074
D,Astro + Feature Selection + Threshold Tuning + Signal Layer,"Adds non-regime signal confirmation from ML probability, astro momentum, and trend alignment.",selected,153,tuned,signal,spot,4,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2022,1039.687099242819,3299.5356304593183,1265.2718828494912,-0.38346968317882857,0.7864184008762322,-0.780543483207764,-0.7897113051306025,-0.23503791530196005,-0.29762511157553895,0.473972602739726,-1040.4676427260267
D,Astro + Feature Selection + Threshold Tuning + Signal Layer,"Adds non-regime signal confirmation from ML probability, astro momentum, and trend alignment.",selected,153,tuned,signal,spot,5,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2023,54.37011081621112,177.37899131760332,63.324901378912315,-0.3570033909231497,0.7853231106243155,2.692748138643057,8.322260172015993,0.8643094499680355,-0.10385513455519191,0.4520547945205479,-51.67736267756806
D,Astro + Feature Selection + Threshold Tuning + Signal Layer,"Adds non-regime signal confirmation from ML probability, astro momentum, and trend alignment.",selected,153,tuned,signal,spot,6,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2024,222.80709424794367,757.2876901185365,237.30543821167157,-0.31336233416725245,0.7628696604600219,0.9762671531303859,3.0157857969127386,0.8105714905505845,-0.2687762146039573,0.5027322404371585,-221.8308270948133
D,Astro + Feature Selection + Threshold Tuning + Signal Layer,"Adds non-regime signal confirmation from ML probability, astro momentum, and trend alignment.",selected,153,tuned,signal,spot,7,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2025,125.56144388583965,373.35594615241587,169.87975263367244,-0.4550074918702971,0.7887246852764094,-0.08451822088205738,0.40550054471932645,0.10145055056583874,-0.25018597850727753,0.4575342465753425,-125.64596210672171
D,Astro + Feature Selection + Threshold Tuning + Signal Layer,"Adds non-regime signal confirmation from ML probability, astro momentum, and trend alignment.",selected,153,tuned,signal,spot,8,2021-01-01,2025-12-31,2026-01-01,2026-05-30,2026,45.278873757556546,145.21840870570136,54.28031750874486,-0.37378399882310365,0.7732749178532311,-0.7955464359224487,-0.4616452747992355,-0.1630140177489533,-0.35311531742601787,0.48,-46.07442019347899
E,Astro + Feature Selection + Threshold Tuning + Signal Layer + Regime Layer,Adds regime-aware confirmation to the same signal-layer stack while still using spot-style mapping.,selected,153,tuned,signal_plus_regime,spot,1,2014-10-17,2018-12-31,2019-01-01,2019-12-31,2019,127.19076059375382,377.9002150770159,171.93760803221343,-0.45498150350926003,0.8239947264337508,1.399238742501001,4.126403587365617,1.2800014578250858,-0.31019783468205675,0.5205479452054794,-125.79152185125282
E,Astro + Feature Selection + Threshold Tuning + Signal Layer + Regime Layer,Adds regime-aware confirmation to the same signal-layer stack while still using spot-style mapping.,selected,153,tuned,signal_plus_regime,spot,2,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2020,291.56305555285564,860.8708067617581,398.0978552257707,-0.46243623561037117,0.8006644518272426,1.154923131013634,3.3022679919537175,1.68376269583238,-0.5098806940972156,0.6202185792349727,-290.408132421842
E,Astro + Feature Selection + Threshold Tuning + Signal Layer + Regime Layer,Adds regime-aware confirmation to the same signal-layer stack while still using spot-style mapping.,selected,153,tuned,signal_plus_regime,spot,3,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2021,505.4947786172046,1494.3106665780879,688.61952931859,-0.46082755394867214,0.776135741652983,0.17056391961854894,1.3344322388153822,0.7080744383809192,-0.5306185040984167,0.5589041095890411,-505.32421469758606
E,Astro + Feature Selection + Threshold Tuning + Signal Layer + Regime Layer,Adds regime-aware confirmation to the same signal-layer stack while still using spot-style mapping.,selected,153,tuned,signal_plus_regime,spot,4,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2022,594.4783048260913,1777.4811909928308,796.6288493277132,-0.44817849739537763,0.7864184008762322,-0.7647411081011659,-0.7825572405816237,-0.22747322741621068,-0.29067934665986184,0.473972602739726,-595.2430459341924
E,Astro + Feature Selection + Threshold Tuning + Signal Layer + Regime Layer,Adds regime-aware confirmation to the same signal-layer stack while still using spot-style mapping.,selected,153,tuned,signal_plus_regime,spot,5,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2023,19.275914017187336,55.64785171103586,28.6660114601385,-0.5151324009593989,0.7853231106243155,1.795397384287749,5.0084186091641465,0.86003112110941,-0.17171710039088373,0.4520547945205479,-17.480516632899587
E,Astro + Feature Selection + Threshold Tuning + Signal Layer + Regime Layer,Adds regime-aware confirmation to the same signal-layer stack while still using spot-style mapping.,selected,153,tuned,signal_plus_regime,spot,6,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2024,89.79139066891702,250.86089854853725,132.8933273292668,-0.5297490685004234,0.7628696604600219,0.8980458194566006,2.826141479585663,0.7595996088182615,-0.2687762146039573,0.5027322404371585,-88.89334484946042
E,Astro + Feature Selection + Threshold Tuning + Signal Layer + Regime Layer,Adds regime-aware confirmation to the same signal-layer stack while still using spot-style mapping.,selected,153,tuned,signal_plus_regime,spot,7,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2025,101.13801421757331,287.0555625703364,146.36408948782983,-0.5098806940972156,0.7887246852764094,-0.13450330133831712,0.3018296090447851,0.0755135360813386,-0.25018597850727753,0.4575342465753425,-101.27251751891163
E,Astro + Feature Selection + Threshold Tuning + Signal Layer + Regime Layer,Adds regime-aware confirmation to the same signal-layer stack while still using spot-style mapping.,selected,153,tuned,signal_plus_regime,spot,8,2021-01-01,2025-12-31,2026-01-01,2026-05-30,2026,35.77849898498165,112.74907029468507,44.44555622162021,-0.3941988710457274,0.7732749178532311,-0.7955464359224487,-0.4616452747992355,-0.1630140177489533,-0.35311531742601787,0.48,-36.5740454209041
F,Full Production Stack,Adds true long/short capital mapping to the regime-aware signal-layer stack.,selected,153,tuned,signal_plus_regime,long_short,1,2014-10-17,2018-12-31,2019-01-01,2019-12-31,2019,1905.8306877017412,6222.605768966482,2202.5114357308335,-0.35395323398362266,0.8239947264337508,1.9899683700073652,5.856127906899205,1.532899680806008,-0.261759938508186,0.5205479452054794,-1903.840719331734
F,Full Production Stack,Adds true long/short capital mapping to the regime-aware signal-layer stack.,selected,153,tuned,signal_plus_regime,long_short,2,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2020,3966.7515886702636,12551.201037254075,4853.731961639427,-0.38671454207710754,0.8006644518272426,0.238029502323603,1.390061080893009,0.7087653087632535,-0.5098806940972158,0.6202185792349727,-3966.51355916794
F,Full Production Stack,Adds true long/short capital mapping to the regime-aware signal-layer stack.,selected,153,tuned,signal_plus_regime,long_short,3,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2021,4003.905735595188,12851.980103646802,4777.021700363573,-0.37169538560117077,0.776135741652983,0.13031089221901432,1.252415510246918,0.6645548445568752,-0.5306185040984169,0.5589041095890411,-4003.7754247029693
F,Full Production Stack,Adds true long/short capital mapping to the regime-aware signal-layer stack.,selected,153,tuned,signal_plus_regime,long_short,4,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2022,6698.991807460585,21503.870124486526,7992.889297838515,-0.37169538560117077,0.7864184008762322,0.48738246653327827,1.8200308191726435,0.4830545932333965,-0.26541011731492836,0.473972602739726,-6698.504424994052
F,Full Production Stack,Adds true long/short capital mapping to the regime-aware signal-layer stack.,selected,153,tuned,signal_plus_regime,long_short,5,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2023,305.4123174968524,865.6197653468913,441.36280677934184,-0.5098806940972156,0.7853231106243155,0.5364362550654906,1.7900793584649193,0.28207424798413583,-0.15757639271704038,0.4520547945205479,-304.8758812417869
F,Full Production Stack,Adds true long/short capital mapping to the regime-aware signal-layer stack.,selected,153,tuned,signal_plus_regime,long_short,6,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2024,701.5166381986891,1987.4198623462112,1013.3470188756786,-0.5098806940972155,0.7628696604600219,0.3153352222753857,1.369531216030887,0.383022972020278,-0.27967451018045264,0.5027322404371585,-701.2013029764137
F,Full Production Stack,Adds true long/short capital mapping to the regime-aware signal-layer stack.,selected,153,tuned,signal_plus_regime,long_short,7,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2025,742.289122866911,2102.834684806087,1072.1948086606271,-0.5098806940972156,0.7887246852764094,0.15037810174464808,0.9019379061025798,0.22565221759107823,-0.25018597850727675,0.4575342465753425,-742.1387447651664
F,Full Production Stack,Adds true long/short capital mapping to the regime-aware signal-layer stack.,selected,153,tuned,signal_plus_regime,long_short,8,2021-01-01,2025-12-31,2026-01-01,2026-05-30,2026,430.0499411011985,1436.2060536035563,475.00034924689464,-0.33073273020614324,0.7732749178532311,-0.812474788929986,-0.47809569819712644,-0.16882291422889184,-0.35311531742601765,0.48,-430.8624158901285
